;SIMULATION DB;12/4/2019;;;1. Lampost;1. Lampost;2. Lighting ;2. Lighting ;3. Energy ;3. Energy ;3. Energy ;4. Public Safety ;4. Public Safety ;4. Public Safety ;5. Environmental Monitoring ;5. Environmental Monitoring ;5. Environmental Monitoring ;6. Signage ;7. Movement Monitoring ;7. Movement Monitoring ;8. Connectivity ;8. Connectivity ;8. Connectivity ;;
310;6. Wider benefits;6.1 Name;Item 2;AlphaNum;0;0;0;0%;0%;0;0;0;0;0;0;0;0;0;Reduction in congestion time due to traffic monitoring;0;0;0;0;;
311;6. Wider benefits;6.2 Unit;Item 2;AlphaNum;0;0;0;0%;0%;0;0;0;0;0;0;0;0;0;Number of hours lost;0;0;0;0;;
312;6. Wider benefits;6.3 Baseline Ratio # Units / Measure;Item 2;Num #;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;;
313;6. Wider benefits;6.4 Baseline monthly cost per unit;Item 2;£;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;;
314;6. Wider benefits;6.5 % Reduction of Number of Unit . Min;Item 2;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;20%;0%;0%;0%;0%;;
315;6. Wider benefits;6.6 % Reduction of Number of Unit . Max;Item 2;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;50%;0%;0%;0%;0%;;
316;6. Wider benefits;6.7 % Reduction of Unit Cost . Min;Item 2;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
317;6. Wider benefits;6.8 % Reduction of Unit Cost . Max;Item 2;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
318;6. Wider benefits;6.9 Source 1;Item 2;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0;0%;https://reolink.com/pros-cons-of-surveillance-cameras-in-public-places/;0%;0%;0%;0%;;
319;6. Wider benefits;6.91 Source 2;Item 2;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;https://project.inria.fr/siliconvalley/files/2011/12/canudas.pdf;0%;0%;0%;0%;;
320;6. Wider benefits;6.92 Source 3;Item 2;AlphaNum;0;0;0;0%;0;0;0;0;0;0;0;0;0;0;http://mentalfloss.com/article/530705/heres-how-much-traffic-congestion-costs-worlds-biggest-cities;0;0;0;0;;
321;6. Wider benefits;6.93 Source 1 - Short;Item 2;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;https://reolink.com/;0%;0%;0%;0%;;
322;6. Wider benefits;6.92 Source 2 - Short;Item 2;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;https://project.inria.fr/;0%;0%;0%;0%;;
323;6. Wider benefits;6.93 Source 3 - Short;Item 2;AlphaNum;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;http://mentalfloss.com/;0%;0%;0%;0%;;
324;6. Wider benefits;6.1 Name;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
325;6. Wider benefits;6.2 Unit;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
326;6. Wider benefits;6.3 Baseline Ratio # Units / Measure;Item 3;Num #;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
327;6. Wider benefits;6.4 Baseline monthly cost per unit;Item 3;£;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
328;6. Wider benefits;6.5 % Reduction of Number of Unit . Min;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
329;6. Wider benefits;6.6 % Reduction of Number of Unit . Max;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
330;6. Wider benefits;6.7 % Reduction of Unit Cost . Min;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
331;6. Wider benefits;6.8 % Reduction of Unit Cost . Max;Item 3;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
332;6. Wider benefits;6.9 Source 1;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
333;6. Wider benefits;6.91 Source 2;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;;
334;6. Wider benefits;6.92 Source 3;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
335;6. Wider benefits;6.93 Source 1 - Short;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;;
336;6. Wider benefits;6.92 Source 2 - Short;Item 3;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0;;
337;6. Wider benefits;6.93 Source 3 - Short;Item 3;AlphaNum;0;0;0;0;0;0%;0;0;0;0;0;0%;0;0%;0;0%;0;0%;0;;
338;6. Wider benefits;6.1 Name;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
339;6. Wider benefits;6.2 Unit;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
340;6. Wider benefits;6.3 Baseline Ratio # Units / Measure;Item 4;Num #;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
341;6. Wider benefits;6.4 Baseline monthly cost per unit;Item 4;£;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
342;6. Wider benefits;6.5 % Reduction of Number of Unit . Min;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
343;6. Wider benefits;6.6 % Reduction of Number of Unit . Max;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
344;6. Wider benefits;6.7 % Reduction of Unit Cost . Min;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
345;6. Wider benefits;6.8 % Reduction of Unit Cost . Max;Item 4;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
346;6. Wider benefits;6.9 Source 1;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
347;6. Wider benefits;6.91 Source 2;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0%;0;0%;0;0%;0;0%;0;;
348;6. Wider benefits;6.92 Source 3;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0;0;0;0;0;0;0;0;;
349;6. Wider benefits;6.93 Source 1 - Short;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0%;0;0%;0;0%;0;0%;0;;
350;6. Wider benefits;6.92 Source 2 - Short;Item 4;AlphaNum;0;0;0;0%;0;0;0;0%;0%;0%;0;0%;0;0%;0;0%;0;0%;0;;
351;6. Wider benefits;6.93 Source 3 - Short;Item 4;AlphaNum;0;0;0;0;0;0;0;0;0%;0%;0;0%;0;0%;0;0%;0;0%;0;;
352;6. Wider benefits;6.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
353;6. Wider benefits;6.2 Unit;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
354;6. Wider benefits;6.3 Baseline Ratio # Units / Measure;Item 5;Num #;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
355;6. Wider benefits;6.4 Baseline monthly cost per unit;Item 5;£;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
356;6. Wider benefits;6.5 % Reduction of Number of Unit . Min;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
357;6. Wider benefits;6.6 % Reduction of Number of Unit . Max;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
358;6. Wider benefits;6.7 % Reduction of Unit Cost . Min;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
359;6. Wider benefits;6.8 % Reduction of Unit Cost . Max;Item 5;%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;
360;6. Wider benefits;6.9 Source 1;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
361;6. Wider benefits;6.91 Source 2;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0%;0%;0;0%;0%;;
362;6. Wider benefits;6.92 Source 3;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0;0;0;0;0;0;0;0;;
363;6. Wider benefits;6.93 Source 1 - Short;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0%;0%;0;0%;0%;;
364;6. Wider benefits;6.92 Source 2 - Short;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0%;0%;0;0%;0%;;
365;6. Wider benefits;6.93 Source 3 - Short;Item 5;AlphaNum;0;0;0;0%;0;0%;0;0%;0;0%;0;0%;0;0%;0%;0%;0;0%;0%;;
366;7. Other Benefits;7.1 Name;Item 1;AlphaNum;0;0;Longer lifespan;Allows deployment of other applications;Green City Image;Green City Image;Power outages responsiveness;Community safety and wellbeing ;Reduction in deploying other applications;Public safety ;Positive impact on health;Ability to listen specific frequencies;Ability to prevent risk & Increase in Safety & Increase in reliability;Increases lighting ability;Data services for Traffic Management ;Reduce drivers' stress;Promote city image;Greater mobility and connectivity;User friendly platform;;
367;7. Other Benefits;7.2 source 1;Item 1;AlphaNum;0;0;http://mallatite.co.uk/street-lighting/retrofit-led-street-lamps/;http://www.selc.ie/technology/softwaregui/;"https://www.smallbizdaily.com/4-ways-ev-charging-stations-can-benefit-business/
";http://www.energybc.ca/cache/solarpv/www.cetonline.org/Renewables/PV_pro_con.html;https://www.greenmatch.co.uk/blog/2015/06/advantages-and-disadvantages-of-solar-cells;https://www.excelerate-group.com/sherpa-automatic-lamp-post-climbing-cctv-delivery-system-supporting-safety-wellbeing-communities-across-northumberland/;https://www.motorolasolutions.com/content/dam/msi/docs/products/voice-applications/wave/wave-work-group-communications-british-airways-case-study.pdf;https://www.abc.net.au/news/2017-12-11/terror-alert-speakers-cctv-rolled-out-across-melbourne-cbd/9245106 ;"https://www.niwa.co.nz/atmosphere/research-projects/innovative-technologies-for-air-quality
";http://www.iotsens.com/sensors/sound-sensor/;https://www.bosai-jp.org/en/solution/detail/49/search;https://www.ala.co.ke/our-services/outdoor-advertising-lamppost-advertising/;https://www.techradar.com/news/world-of-tech/futuristic-lamp-posts-to-manage-uk-traffic-jams-618091;https://smart-city-forum.com/images/Download/Fachgespaeche/Bad_Hersfeld_2017-06/Download/pdf_Bad%20Hersfeld_SCF2017/01-03Cleverciti%20Bad%20Hersfeld%20June%202017.pdf;https://www.citintelly.com/intelligent-street-lighting-products/streetlight-wifi-hotspot/;https://www.electronicshub.org/wireless-communication-introduction-types-applications/;https://www.standard.co.uk/news/london/minimasts-to-be-installed-on-lampposts-across-capital-to-boost-mobile-coverage-a3747381.html;;
368;7. Other Benefits;7.3 source 2;Item 1;AlphaNum;0;0;https://www.sepco-solarlighting.com/blog/bid/145611/the-advantages-of-led-lights-for-the-environment;" https://www.osram.com/ds/knowledge/street-light-control-by-osram-innovative-light-management-system-for-outdoor-areas/index.jsp
";https://www.eea.europa.eu/articles/the-electric-car-2014-a-green-transport-revolution-in-the-making;http://www.environmentandsociety.org/perspectives/2018/1/article/branding-green-city;https://www.cornwallhomeshow.co.uk/benefits-battery-storage/;https://www.kickstarter.com/projects/1287286080/the-l-eye-t-post-a-solar-cctv-lamp-posts-with-wifi;https://www.peakptt.com;https://www.theage.com.au/national/victoria/terrorwarning-loudspeakers-rolled-out-across-melbournes-cbd-20171211-h027ly.html;"https://www.theage.com.au/national/victoria/street-lamps-light-the-way-for-air-pollution-monitoring-and-smoke-detection-20161205-gt4du1.html
";https://www.ge.com/reports/smart-streets-are-made-of-these-san-diego-deploys-americas-first-intelligent-lighting-system/;https://www.oase-livingwater.com/fr_FR/fountains-lakes/products/f/water-level-sensors.1000588894.html;https://fr.slideshare.net/aysharameez/reasons-why-lamp-post-advertising-is-the-best-in-dubai;https://archpaper.com/2018/11/cityiq-envisions-sensors-future-san-diego/;https://www.nwave.io/?gclid=EAIaIQobChMI7deY3rHZ4AIVCJ3VCh0n6goGEAAYAiAAEgKJTPD_BwE;0;0;0;;
369;7. Other Benefits;7.4 source 3;Item 1;AlphaNum;0;0;0;" https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/
";0;"https://www.renewableenergyworld.com/ugc/articles/2012/12/advantages-and-disadvantages-of-solar-photovoltaic--quick-pros-and-cons-of-solar-pv.html
";0;0;0;0;http://www.hapinz.org.nz;0;0;0;0;0;0;0;0;;
370;7. Other Benefits;7.5 Source 1 - Short;Item 1;AlphaNum;0;0;http://mallatite.co.uk/;http://www.selc.ie/;https://www.smallbizdaily.com/;http://www.energybc.ca/;https://www.greenmatch.co.uk/;https://www.excelerate-group.com/;https://www.motorolasolutions.com/;https://www.abc.net.au/;https://www.niwa.co.nz/;http://www.iotsens.com/;https://www.bosai-jp.org;https://www.ala.co.ke/;https://www.techradar.com/;https://smart-city-forum.com/;https://www.citintelly.com/;https://www.electronicshub.org/;https://www.standard.co.uk/;;
371;7. Other Benefits;7.6 Source 2 - Short;Item 1;AlphaNum;0;0;https://www.sepco-solarlighting.com/;https://www.osram.com/;https://www.eea.europa.eu/;http://www.environmentandsociety.org/;https://www.cornwallhomeshow.co.uk/;https://www.kickstarter.com/;https://www.peakptt.com;https://www.theage.com.au/;https://www.theage.com.au/;https://www.ge.com/;https://www.oase-livingwater.com/;https://fr.slideshare.net/;https://archpaper.com/;https://www.nwave.io/;0;0;0;;
372;7. Other Benefits;7.7 Source 3 - Short;Item 1;AlphaNum;0;0;0;https://www.citintelly.com/;0;https://www.renewableenergyworld.com/;0;0;0;0;http://www.hapinz.org.nz;0;0;0;0;0;0;0;0;;
373;7. Other Benefits;7.1 Name;Item 2;AlphaNum;0;0;Better color rendering;User-friendly web-platform for street light management;Increase in housing prices and district attractiveness;0;0;Environmental protection;Optimizes medical intervention;Public satisfaction ;0;Improves Public Safety;Environment protection;Public information to citizens;Carbon savings;Urban planning - ability to develop smart parking platform;Greater mobility and connectivity;Ability to deploy new Data intensive applications;Higher Data Transmission rate ;;
374;7. Other Benefits;7.2 source 1;Item 2;AlphaNum;0;0;https://www.stouchlighting.com/blog/top-15-advantages-of-led-lighting;"https://www.efacec.pt/en/products/elumen-street-light-central-management-system/
";Internal research;0;0;https://www.excelerate-group.com/sherpa-automatic-lamp-post-climbing-cctv-delivery-system-supporting-safety-wellbeing-communities-across-northumberland/;https://www.peakptt.com;Alerts, Music, Event announcement..,etc;0;https://arxiv.org/pdf/1710.01581.pdf;http://www.libelium.com/smart_water_wsn_flood_detection/;https://democracy.leeds.gov.uk/documents/s3419/lamp%20post%20advertising%202%20nov.pdf;http://www.libelium.com/vehicle_traffic_monitoring_bluetooth_sensors_over_zigbee/;http://www.libelium.com/smart_parking/;https://www.citintelly.com/intelligent-street-lighting-products/streetlight-wifi-hotspot/;https://techcentral.co.za/joburg-lampposts-to-become-broadband-towers/50394/;https://www.ispreview.co.uk/broadband_mobile.php;;
375;7. Other Benefits;7.3 source 2;Item 2;AlphaNum;0;0;"http://www.lighting.philips.co.in/systems/themes/metronomis-LED
";"https://financesonline.com/content-management-software-analysis-features-benefits-pricing/
";0;0;0;0;https://www.cisco.com/c/dam/en_us/about/ciscoitatwork/downloads/ciscoitatwork/pdf/Case_Study_LMR-over-IP_update.pdf;https://www.themorningbulletin.com.au/news/smart-lights-plans-enhancing-rocky-cbd-security/2768776/;0;https://www.upthereeverywhere.com/blog/coming-to-a-city-near-you-very-soon.-smart-lamp-posts;https://www.researchgate.net/publication/300411474_Water_level_sensing_State_of_the_art_review_and_performance_evaluation_of_a_low-cost_measurement_system;http://www.austintexas.gov/page/street-banners;https://www.retailsensing.com/people-counting/smart-cities-pedestrian-counting/;https://www.nwave.io/?gclid=EAIaIQobChMI7deY3rHZ4AIVCJ3VCh0n6goGEAAYAiAAEgKJTPD_BwE;0;https://www.electronicshub.org/wireless-communication-introduction-types-applications/;https://technical.ly/brooklyn/2018/03/20/new-york-city-use-streetlights-wifi-hotspots/;;
376;7. Other Benefits;7.4 source 3;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;https://www.channelnewsasia.com/news/singapore/smart-lampposts-singapore-wont-shine-light-peoples-lives-10229804;0;0;0;0;0;0;0;;
377;7. Other Benefits;7.5 Source 1 - Short;Item 2;AlphaNum;0;0;https://www.stouchlighting.com/;https://www.efacec.pt/;Internal research;0;0;https://www.excelerate-group.com/;https://www.peakptt.com;https://www.themorningbulletin.com.au/;0;https://arxiv.org/;http://www.libelium.com/;https://democracy.leeds.gov.uk/;http://www.libelium.com/;http://www.libelium.com/;https://www.citintelly.com/;https://techcentral.co.za/;https://www.ispreview.co.uk/;;
378;7. Other Benefits;7.6 Source 2 - Short;Item 2;AlphaNum;0;0;http://www.lighting.philips.co.in/;https://financesonline.com/;0;0;0;0;https://www.cisco.com/;0;0;https://www.upthereeverywhere.com/;https://www.researchgate.net/;http://www.austintexas.gov/;https://www.retailsensing.com/;https://www.nwave.io/;0;https://www.electronicshub.org/;https://technical.ly/;;
379;7. Other Benefits;7.7 Source 3 - Short;Item 2;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;https://www.channelnewsasia.com;0;0;0;0;0;0;0;;
380;7. Other Benefits;7.1 Name;Item 3;AlphaNum;0;0;Improved safety and visibility;Data collection;0;0;0;0;Public Safety & Increased Security;0;0;Increase in housing prices and district attractiveness;Economic losses;0;Development of Traffic App;Development of smart Parking App;Providing access to Wifi Data (WiFi, 4G, 5G);Subscription fees to wireless communication;Data collection on users (5G);;
381;7. Other Benefits;7.2 source 1;Item 3;AlphaNum;0;0;https://www.stouchlighting.com/blog/top-15-advantages-of-led-lighting;"https://www.citintelly.com/intelligent-street-lighting-products/street-lighting-control-system/
";0;0;0;0;https://www.connectingbristol.org/what-is-the-humble-lamppost/;0;0;Internal research;http://www.libelium.com/smart_water_wsn_flood_detection/;0;https://nextcity.org/daily/entry/counting-bikes-pedestrians-numina-startup;https://ercapi.lightfair.com/convdata/lightfair/brochures/lia/CurrentByGE_CityIQ_specification.pdf;https://www.techrepublic.com/article/new-led-smart-streetlight-pole-from-philips-lighting-could-be-your-next-wi-fi-hotspot/;https://www.techrepublic.com/article/new-led-smart-streetlight-pole-from-philips-lighting-could-be-your-next-wi-fi-hotspot/;https://www.linkedin.com/pulse/how-much-5g-coverage-you-really-get-from-lampposts-sameer/;;
382;7. Other Benefits;7.3 source 2;Item 3;AlphaNum;0;0;https://www.bracknell-forest.gov.uk/street-lights-led-upgrade/about-upgrade-and-its-benefits;"https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";0;0;0;0;https://www.themorningbulletin.com.au/news/smart-lights-plans-enhancing-rocky-cbd-security/2768776/;0;0;0;https://www.weather.gov/aprfc/terminology;0;https://archpaper.com/2018/11/cityiq-envisions-sensors-future-san-diego/;http://www.parking-net.com/parking-news/cleverciti-systems-gmbh/sensors-integrated-street-lighting;https://nypost.com/2018/03/17/nyc-wants-to-turn-streetlights-into-high-speed-wi-fi-hotspots/;https://nypost.com/2018/03/17/nyc-wants-to-turn-streetlights-into-high-speed-wi-fi-hotspots/;0;;
383;7. Other Benefits;7.4 source 3;Item 3;AlphaNum;0;0;0;0;0;0;0;0;https://www.hkt.com/staticfiles/PCCWCorpsite/Press%20Release/2018/Nov/20181123ppt%20HKT%20presentation%20at%20SCJL%20Press%20Event%20FINAL.pdf;0;0;0;0;0;https://ercapi.lightfair.com/convdata/lightfair/brochures/lia/CurrentByGE_CityIQ_specification.pdf;http://www.germany-australia.com.au/wp-content/uploads/2017/10/Cleverciti_Presentation_Australia.pptx-Website.pdf;0;0;0;;
384;7. Other Benefits;7.5 Source 1 - Short;Item 3;AlphaNum;0;0;https://www.stouchlighting.com/;https://www.citintelly.com/;0;0;0;0;https://www.connectingbristol.org/;0;0;Internal research;http://www.libelium.com/;0;https://nextcity.org/;https://ercapi.lightfair.com/;https://www.techrepublic.com/;https://www.techrepublic.com/;https://www.linkedin.com/;;
385;7. Other Benefits;7.6 Source 2 - Short;Item 3;AlphaNum;0;0;https://www.bracknell-forest.gov.uk/;https://www.lumenia.com/;0;0;0;0;https://www.themorningbulletin.com.au/;0;0;0;https://www.weather.gov/;0;https://archpaper.com/;http://www.parking-net.com/;https://nypost.com/;https://nypost.com/;0;;
386;7. Other Benefits;7.7 Source 3 - Short;Item 3;AlphaNum;0;0;0;0;0;0;0;0;https://www.hkt.com/;0;0;0;0;0;https://ercapi.lightfair.com/;http://www.germany-australia.com.au/;0;0;0;;
387;7. Other Benefits;7.1 Name;Item 4;AlphaNum;0;0;0;Carbon savings;0;0;0;0;0;0;0;0;Reduction of damages to farmland  ;0;Ability to collect Data (demographic Data);Development of Urban planning ;Modernising the infrastructure;Increase in housing prices and district attractiveness;Possibility of exploitation for revenues;;
388;7. Other Benefits;7.2 source 1;Item 4;AlphaNum;0;0;0;"https://www.lumenia.com/solutions/lumenia-cms-lum-central-management-system
";0;0;0;0;0;0;0;0;http://www.libelium.com/smart_water_wsn_flood_detection/;0;https://www.straitstimes.com/tech/smart-lamp-posts-to-transmit-data;https://www.cdmsmith.com/en-ME/Client-Solutions/Insights/Smart-Solutions-for-Pedestrians-in-Smart-Cities;https://apolitical.co/solution_article/new-york-city-profit-500m-providing-free-public-wi-fi/;Internal research;https://www.theverge.com/2018/9/7/17829270/5g-phone-cell-mobile-network-hardware;;
389;7. Other Benefits;7.3 source 2;Item 4;AlphaNum;0;0;0;"https://www.telensa.com/news/telensa-supplies-cms-system-for-leicester-citys-led-street-lighting-energy-reduction-project
";0;0;0;0;0;0;0;0;https://www.weather.gov/aprfc/terminology;0;http://www.libelium.com/vehicle_traffic_monitoring_bluetooth_sensors_over_zigbee/;https://www.sandiego.gov/sustainability/energy-and-water-efficiency/programs-projects/smart-city;0;0;0;;
390;7. Other Benefits;7.4 source 3;Item 4;AlphaNum;0;0;0;" https://www.osram.com/ds/knowledge/street-light-control-by-osram-innovative-light-management-system-for-outdoor-areas/index.jsp
";0;0;0;0;0;0;0;0;0;0;https://internet-of-things-innovation.com/insights/the-blog/iot-applications-smart-cities/#.XG5koS3MygQ;https://nextcity.org/daily/entry/counting-bikes-pedestrians-numina-startup;0;0;https://www.theverge.com/;;
391;7. Other Benefits;7.5 Source 1 - Short;Item 4;AlphaNum;0;0;0;https://www.lumenia.com/;0;0;0;0;0;0;0;0;http://www.libelium.com/;0;https://www.straitstimes.com/;https://www.cdmsmith.com/;https://apolitical.co/;Internal research;0;;
392;7. Other Benefits;7.6 Source 2 - Short;Item 4;AlphaNum;0;0;0;https://www.telensa.com/;0;0;0;0;0;0;0;0;https://www.weather.gov/;0;http://www.libelium.com/;https://www.sandiego.gov/;0;0;0;;
393;7. Other Benefits;7.7 Source 3 - Short;Item 4;AlphaNum;0;0;0;https://www.osram.com/;0;0;0;0;0;0;0;0;0;0;https://internet-of-things-innovation.com/;https://nextcity.org;0;0;0;;
394;7. Other Benefits;7.1 Name;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Development of Urban planning ;Reduction of control to parking usage ;WiFi access point;0;Increase in housing prices and district attractiveness;;
395;7. Other Benefits;7.2 source 1;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.cdmsmith.com/en-ME/Client-Solutions/Insights/Smart-Solutions-for-Pedestrians-in-Smart-Cities;https://www.intel.com/content/dam/www/public/us/en/documents/solution-briefs/smart-street-lights-for-brighter-savings-solutionbrief.pdf;https://www.techrepublic.com/article/new-led-smart-streetlight-pole-from-philips-lighting-could-be-your-next-wi-fi-hotspot/;0;Internal research;;
396;7. Other Benefits;7.3 source 2;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.sandiego.gov/sustainability/energy-and-water-efficiency/programs-projects/smart-city;0;https://nypost.com/2018/03/17/nyc-wants-to-turn-streetlights-into-high-speed-wi-fi-hotspots/;0;0;;
397;7. Other Benefits;7.4 source 3;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://nextcity.org/daily/entry/counting-bikes-pedestrians-numina-startup;0;https://data.smgov.net/Public-Services/City-Wi-Fi-Access-Points/j485-ymdf;0;0;;
398;7. Other Benefits;7.5 Source 1 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.cdmsmith.com;https://www.intel.com/;https://www.techrepublic.com/;0;Internal research;;
399;7. Other Benefits;7.6 Source 2 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://www.sandiego.gov/;0;https://nypost.com/;0;0;;
400;7. Other Benefits;7.7 Source 3 - Short;Item 5;AlphaNum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;https://nextcity.org/;0;https://data.smgov.net/;0;0;;
401;8. Risks;8.1 Name;Item 1;AlphaNum;0;0;Potential Negative impact on health;Network Hacking;Grid reliability (instability and disruptions);Vandalism;Safety risks;Cyber attack;Network and coverage Issues;Lack of public acceptance;Lack of scalability - coverage;Lack of public acceptance;Lack of scalability - coverage;Limited visibility due to the height of advertisement;Data hacking;Cyber attacks;Cyber attacks;Cyber attacks;Potential Negative impact on health;;
